🇺🇦Ukraine,🇺🇸English
артикль,article
бути,be
і,and
з/від/про,with/from/about
артикль,article
в,V
частиця перед дієсловом,particle before the verb
мати,have
щоб,that
це,it
я,I
що,What
для,for
ти/ви,you/you
він,he
з,with
на,on
робити,do
сказати,say
цей,this
вони,they
на/в,on/in
але,but
ми,we
його,its
із/з,with/from
який,which
ні,no
ні (скор.),no (short.)
з,with
вона,she
чи,or
в якості,as
що,What
йти,to go
їх,their
може,maybe
хто,who
отримувати,get
коли/якщо,when/if
би/буде,would/will be
її,its
усе,everyone
моє,my
робити,do
про,about
знати,know
буде,will be
поки,until
вгору,above
один,one
час,time
там,there
рік,year
тому що,because
думати,think
коли,When
котрий,which
їм,them
деякі,some
мій,my
люди,People
брати,take
із/зовні,from the outside
всередині,within
просто,Just
бачити,see
його,its
твій,thy
приходити,come
міг,could
зараз,now
ніж,than
як,as
інший,another
як,as
тоді,then
цього,this
наше,ours
два,two
більше,more
ці,or
бажати,wish
засіб,means
виглядає,looks
перший,first
також,also
новий,new
тому що,because
день,day
додатковий,additional
використовувати,use
ні,no
людина/чоловік,person/man
знаходити,find
тут,here
річ,thing
давати,give
багато,many
хорошо,Fine
тільки,only
ті,those
розповідати,tell
частиця,a particle
дуже,very
її,its
навіть,even
тому/назад,ago/ago
будь-який,any
хороший,good
жінка,woman
думка,opinion
нам/нас,us/us
життя,life
дитина,baby
туди,there
працювати,work
вниз,down
багато,many
після,after
має,has
кликати,call
світ,world
понад,over
школа,school
до цього часу,until now
намагатися,try
всередині,within
наприклад як,for example how
останній,last
питати,ask
потребувати,need
теж,also
відчувати,feel
це,it
коли,When
стан,state
ніколи,never
ставати,become
між,between
високий,high
справді,really
що-небудь,anything
більшість,majority
інший,another
багато,many
сім'я,family
особистий,personal
ззовні,from the outside
покидати,leave
поклав,put
старий,old
допоки,until
декілька,few
від,from
зберігати,save
студент,student
чому,Why
дозволяти,allow
великий,great
однаковий,identical
великий,great
група,group
починати,start
здаватися,seem
країна,country
допомогати,to help
спілкуватися,communicate
де,as well
повертати,return
проблема,problem
кожен,each one
починати,start
рука,hand
можливо,perhaps
американський,American
показувати,show
частина,part
про,about
проти,against
місце,place
поза межами,out of bounds
як,as
знову,again
декілька,few
випадок,case
більшість,majority
неділя,Sunday
компанія,company
де,as well
система,system
кожен,each one
правильно,right
програма,program
чути,to hear
так,So
питання,question
протягом,for
праця,work
грати,play
уряд,government
бігти,run
маленький,small
кількість,number
від/з,from/from
завжди,always
рухатися,move
схожий,similar
ніч,night
жити,live
містер,Mr
крапка,point
вірити,believe
тримати,keep
сьогодні,today
нести,carry
траплятися,occur
наступний,following
без,without
раніше,earlier
величезний,huge
всі,all
мільйон,million
повинен,should
дім,house
під,under
вода,water
кімната,room
писати,write
мати,have
місцевість,locality
національний,national
гроші,money
історія,history
молодий,young
факт,fact
місяц,a month
різний,different
багато,many
право,right
вчити,to teach
книга,book
око,the eye
робота,work
слово,word
хоча,although
бізнес,business
проблема,problem
сторона,side
краєвид,landscape
чотири,four
голова,head
далекий,far
чорний,black
довгий,long
обидва,both
маленький,small
дім,house
так,So
після,after
з,with
довго,long
постачати,supply
сервіс,service
навколо,around
друг,another
важливий,important
батько,father
сидіти,sit
поза/далеко,pose/far
до тих пір,until then
сила,strength
час,time
гра,game
часто,often
досі,still
лінія,line
політичний,political
кінець,end
серед,among
завжди,always
стояти,stand
поганий,bad
втрачати,lose
однак,however
учасник,member
платити,pay
закон,law
зустрічати,meet
автомобіль,car
місто,city
майже,almost
включати,comprise
продовжувати,continue
встановлювати,establish
пізніше,later
спільнота,community
значно,much
ім'я,name
п'ять,five
одного разу,once
білий,white
найменш,least
президент,president
вчити,to teach
справжній,real
міняти,change
команда,team
хвилина,minute
кращий,better
декілька,few
ідея,idea
дитина,baby
тіло,body
інформація,information
нічого,nothing
тому назад,way back
правильний,correct
вести,lead
соціальний,social
розуміти,understand
без різниці,no difference
назад,back
дивитись,look
разом,together
людина,man
навколо,around
один з батьків,one of the parents
лише,only
зупинятися,stop
обличчя,face
що-небудь,anything
створювати,create
громадський,public
вже,already
спілкуватися,communicate
інші,others
читати,read
рівень,level
дозволяти,allow
додавати,add
офіс,office
проводити,conduct
двері,door
здоров'я,health
людина,man
мистецтво,art
звичайно,Of course
такий,such
війна,war
історія,history
вечірка,party
в межах,within
рости,grow
результат,result
відчиняти,open
зміна,change
ранок,morning
гуляти,walk
причина,cause
низький,low
перемагати,win
досліджувати,explore
дівчинка,girl
парубок,boy
рано,early
їжа,food
до,to
момент,moment
сам,alone
повітря,air
вчитель,the teacher
сила,strength
пропонувати,offer
достатньо,enough
пара,pair
освіта,education
через,through
хоча,although
пам'ятати,remember
їжа,food
другий,second
хлопчик,boy
можливо,perhaps
до,to
здатен,capable
вік,age
від,from
політика,policy
всі,all
кохання,love
процес,process
музика,music
включаючи,including
розглядати,consider
з'являтися,emerge
насправді,actually
купувати,buy
можливо,perhaps
людина,man
чекати,wait
обслуговувати,serve
ринок,market
вмирати,to die
відправляти,send
чекати,wait
дім,house
суть,the essence
будувати,build
залишатися,remain
падати,fall
ох,Oh
нація,nation
план,plan
різати,cut
коледж,college
зацікавленість,interest
смерть,death
напрям,direction
дехто,some
досвід,experience
ззаду/за,behind/behind
досягати,reach
місцевий,local
вбивати,to kill
шість,six
залишатися,remain
впливати,influence
використовувати,use
так,So
пропонувати,offer
клас,class
контроль,CONTROL
рости,grow
турбота,care
можливо,perhaps
трохи,a little
пізній,late
важкий,heavy
поле,field
інший,another
проходити,pass
колишній,former
продавати,sell
основний,basic
іноді,sometimes
вимагати,require
разом,together
розвиток,development
самі,themselves
доповідати,report
роль,role
краще,better
економічний,economic
зусилля,effort
вгору,above
вирішувати,solve
темп,pace
сильний,strong
можливий,possible
серце,heart
ліки/наркотик,medicine/drug
відображати,to display
лідер,leader
світ,world
голос,voice
жінка,woman
цілий,whole
поліція,police
розум,mind
нарешті,finally
тягнути,pull
повертатися,turn
безкоштовний/вільний,free/free
військовий,military
ціна,price
звіт,report
менше,Less
відповідно,in accordance
рішення,decision
пояснювати,explain
син,syn
сподіватися,hope
навіть,even
розвивати,develop
бачення,vision
відносини,relations
нести,carry
місто,city
дорога,road
водити,lead
рука,hand
правильний,correct
федеральний,federal
ломати,the reason
краще,better
різниця,difference
вдячність,appreciation
отримувати,get
значення,value
міжнародний,international
будівля,building
дія,action
повний,full
модель,model
приєднуватися,join
сезон,season
суспільство,society
тому що,because
податок,tax
директор,director
початковий,initial
позиція/посада,position/position
ігрок,player
погоджуватися,agree
особливо,especially
записувати,record
вибирати,choose
носити (одяг),wear (clothes)
папір,paper
спеціально,specially
простір,space
земля,Earth
форма,form
підтримка,support
подія,event
офіційний,official
чий,whose
мати значення,matter
всі,all
центр,center
пара,pair
сайт,website
кінец,the end
проєкт,project
уражати(ціль),hit (target)
основа,basis
заняття,occupation
зірка,star
стіл,table
необхідність,necessity
корт,worm
виробляти,produce
їсти,eat
американець,American
викладати,teach
масло,oil
половина,half
ситуація,situation
легко,light
вартість,cost
галузь,branch
фігура,figure
обличчя,face
вулиця,street
зображення,image
само,only
телефон,telephone
чи,or
дані,data
покривати,cover
доволі,enough
картинка,picture
чисто,purely
практика,practice
мир,world
земля,Earth
нещодавний,recent
описувати,describe
продукт,product
лікар,doctor
стіна,wall
пацієнт,patient
робочий,working
новини,news
тест,test
фільм,the movie
певний,certain
північ,North
кохання,love
особистий,personal
відкритий,open
підтримка,support
легко,light
третій,third
технологія,technology
ловити,catch
крок,a step
немовля,baby
комп'ютер,computer
тип,type
увага,WARNING
малювати,draw
фільм,the movie
республіканец,Republican
дерево,tree
джерело,source
червоний,red
приблизно,about
організація,organization
обирати,choose
причина,cause
волосся,hair
вид,view
точка (погляд),point (view)
вік,age
доказ,proof
вікно,window
складний,complex
слухати,listen
скоро,soon
культура,culture
мільярд,billion
шанс,chance
брат,Brother
енергія,energy
період,period
блюдо,dish
літо,summer
менший,less
реалізовувати,implement
сто,one hundred
доступний,available
рослина,plant
можливо,perhaps
можливість,possibility
термін,term
короткий,short
письмо,letter
стан,state
вибір,choice
місцезнаходження,location
один/самотній,alone/lonely
правило,rule
донька,daughter
адміністрація,administration
південь,South
чоловік,man
Конгрес,Congress
підлога/поверх,floor/floor
кампанія,company
матеріал,material
населення,population
добре,good
контактувати,to contact
економіка,economy
медичний,medical
лікарня,hospital
церква,church
зачиняти,close
тисяча,thousand
ризик,risk
поточний,current
вогонь,fire
майбутнє,future
невірний,unfaithful
включати,comprise
захист,protection
хто-небудь,anyone
збільшувати,increase
безпека,security
банк,bank
сам,alone
безумовно,certainly
захід,West
спорт,sports
борт,board
шукати,search
за,for
предмет,item
офіцер,officer
приватний,private
відпочинок,rest
поведінка,behavior
угода,agreement
вистава,performance
битися,fight
через,through
верх,top
швидко,quickly
минуле,last time
ціль,target
другий,second
ліжко,bed
порядок,order
автор,author
заповнювати,fill in
представляти,represent
фокус,focus
іноземний,foreign
падати,fall
план,plan
кров,blood
на/по,on/by
агентство,agency
штовхати,push
природа,nature
цвет,color
нікого,no one
нещодавно,newly
магазин,shop
знижувати,reduce
звук,sound
помітка,mark
відмінно,perfectly
раніше,earlier
близько,close
рух,movement
сторінка,page
входити,enter
ділитися,share
як,as
загальний,general
бідний,poor
інший,another
природний,natural
перегони,race
занепокоєння,concern
серії,series
значний,considerable
схожий,similar
гарячий,hot
язик,tongue
кожен,each one
зазвичай,usually
відповідь,respond
мертвий,dead
зростати,grow
тварина,animal
фактор,factor
десятиліття,decade
стаття,article
стріляти,shoot
схід,East
зберігати,save
сім,seven
художник,artist
геть,away
сцена,scene
запас,stock
кар'єра,career
незважаючи на,in spite of
центральний,central
вісім,eight
таким чином,so
лікування,treatment
"за, поза","for, pose"
щасливий,happy
точно,exactly
захищати,protect
наближення,approximation
брехати,lie
розмір,size
собака,dog
фонд,fund
серйозний,serious
відбувається,is happening
медіа,media
готовий,finished
знак/підпис,mark/signature
намір,intention
перелік,list
індивідуальний,individual
простий,simple
якість,quality
тиск,pressure
приймати,accept
відповідь,respond
складний,complex
ресурс,resource
ідентифікувати,identify
покидати,leave
зустріч,meeting
визначати,determine
підготуватися,to prepare
хвороба,disease
що-небудь,anything
успіх,success
суперечка,dispute
чашка,cup
особливо,especially
сума,sum
можливість,possibility
персонал,staff
впізнавати,recognize
вказувати на,point to
персонаж,character
ріст,growth
втрата,loss
ступінь,degree
дивуватися,wonder
напад,attack
сама,herself
регіон,region
телебачення,TV
коробка,box
ТВ,TV
тренування,training
вродливий,handsome
торгівля,trade
справа,right
вибори,election
кожен,each one
фізичний,physical
лежати,lie
загальний,general
відчуття,feeling
стандарт,standard
рахунок,score
повідомлення,message
невдача,fail
зовні,outside
прибувати,arrive
аналіз,analysis
вигода,profit
ім'я,name
секс,sex
напряму,directly
юрист,lawyer
дарувати,give
разділ,separate
екологічний,ecological
стакан,cup
відповідь,respond
навичка,habit
сестра,sister
після полудня,in the afternoon
професор,professor
операція,operation
фінансовий,financial
злочин,a crime
етап,stage
ок,OK
порівнювати,compare
влада,government
сумувати,grieve
дизайн,design
вид,view
єдиний,only
діяти,act
десять,ten
знання,knowledge
зброя,weapon
станція,station
блакитний,blue
держава,state
стратегія,strategy
мало,a little
ясно,clear
обговорювати,discuss
справді,really
примушувати,force
правда,Truth
пісня,song
приклад,example
демократичний,democratic
перевіряти,check
навколишнє середовище,environment
нога,leg
темний,dark
громадськість,public
різноманітний,diverse
скоріше,rather
сміятися,laugh
здогадуватися,guess
посадова особа,an official
набір,set
навчання,teaching
доводити,prove
вішати,hang
цілий,whole
рок,deadline
дизайн,design
достатньо,enough
забувати,forget
з тих пір,ever since
вимагати,require
нота,note
видаляти,remove
менеджер,manager
допомога,help
близький,near
звучати,sound
насолоджуватися,enjoy
мережа,chain
законний,legitimate
релігійний,religious
холодний,cold
формувати,form
фінал,final
головний,main
наука,science
зелений,green
пам'ять,memory
карта,map
понад,over
сидіння,seat
клітина,cell
встановити,set
відмінно,perfectly
слід,trace
експерт,expert
весна,spring
фірма,firm
демократ,democrat
радіо,radio
відвідувати,visit
управляти,manage
піклуватися,care
уникати,avoid
уявляти,imagine
цієї ночі,this night
великий,great
м'яч,ball
закривати,close
завершувати,complete
себе,to yourself
говорити,speak
теорія,theory
вплив,influence
реагувати,respond
ствердження,statement
підтримувати,support
заряджати,charge
популярний,popular
традиційний,traditional
на,on
розкривати,disclose
напрямок,direction
спорядження,equipment
робітник,worker
культурний,cultural
складатися з,consist of
мир,world
очі,eyes
контроль,CONTROL
база,base
біль,pain
подавати заяву,apply
гра,game
міра,measure
широко,wide
струсити,to shake
літати,fly
інтерв'ю,interview
справлятися,cope
стілець,chair
риба,fish
певний,certain
камера,camera
структура,structure
політика,policy
виконати,perform
шматочок,a piece
вага,weight
раптово,raptovo
дослідження,research
кандидат,candidate
топ,group
виробництво,production
лікувати,treat
подорож,travel
вечір,evening
впливати,influence
всередині,within
конференція,conference
частина,part
кращий,better
стиль,style
дорослий,adult
хвилюватися,to worry
спектр,spectrum
згадувати,remember
швидше,rather
далекий,far
справа,right
минуле,last time
край,end
індивідуальний,individual
конкректний,specific
письменник,writer
проблема,problem
важливо,importantly
протягом,for
випробування,trial
страх,fear
плече,shoulder
установа,institution
середній,average
море,sea
мрія/сон,dream/dream
журнал,magazine
бар,there is
красиво,Beautiful
майно,property
замість,instead
покращувати,to improve
матеріал,material
деталь,detail
метод,method